Date,Close/Last,Volume,Open,High,Low
01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
12/31/2024,$403.84,76825120,$423.79,$427.93,$402.54
12/30/2024,$417.41,64941010,$419.40,$427.00,$415.75
12/27/2024,$431.66,82666820,$449.52,$450.00,$426.50
12/26/2024,$454.13,76651210,$465.16,$465.3299,$451.02
12/24/2024,$462.28,59551750,$435.90,$462.78,$435.14
12/23/2024,$430.60,72698060,$431.00,$434.51,$415.4112
12/20/2024,$421.06,132216200,$425.505,$447.08,$417.64
12/19/2024,$436.17,118566100,$451.88,$456.36,$420.02
12/18/2024,$440.13,149340800,$466.495,$488.5399,$427.01
12/17/2024,$479.86,131223000,$475.90,$483.99,$457.5101
12/16/2024,$463.02,114083800,$441.09,$463.19,$436.15
12/13/2024,$436.23,89000160,$420.00,$436.30,$415.71
12/12/2024,$418.10,87752230,$424.84,$429.30,$415.00
12/11/2024,$424.77,104287600,$409.70,$424.88,$402.38
12/10/2024,$400.99,97563580,$392.68,$409.73,$390.85
12/09/2024,$389.79,96359170,$397.61,$404.80,$378.01
12/06/2024,$389.22,81455830,$377.42,$389.49,$370.80
12/05/2024,$369.49,81403570,$359.87,$375.43,$359.50
12/04/2024,$357.93,50810870,$353.00,$358.10,$348.60
12/03/2024,$351.42,58267200,$351.80,$355.69,$348.20
12/02/2024,$357.09,77986480,$352.38,$360.00,$351.1501
11/29/2024,$345.16,37167620,$336.08,$345.45,$334.6501
11/27/2024,$332.89,57896440,$341.80,$342.55,$326.59
11/26/2024,$338.23,62295860,$341.00,$346.96,$335.66
11/25/2024,$338.59,95890900,$360.14,$361.93,$338.20
11/22/2024,$352.56,89140720,$341.085,$361.53,$337.70
11/21/2024,$339.64,58011720,$343.81,$347.9899,$335.28
11/20/2024,$342.03,66340650,$345.00,$346.5999,$334.30
11/19/2024,$346.00,88852450,$335.76,$347.3799,$332.75
11/18/2024,$338.74,126547500,$340.73,$348.5499,$330.01
11/15/2024,$320.72,114440300,$310.57,$324.6799,$309.22
11/14/2024,$311.18,120726100,$327.69,$329.98,$310.37
11/13/2024,$330.24,125405600,$335.85,$344.5999,$322.50
11/12/2024,$328.49,155726000,$342.74,$345.84,$323.31
11/11/2024,$350.00,210521600,$346.30,$358.64,$336.00
11/08/2024,$321.22,204782800,$299.14,$328.71,$297.66
11/07/2024,$296.91,117309200,$288.89,$299.75,$285.52
11/06/2024,$288.53,165228700,$284.67,$289.59,$275.62
11/05/2024,$251.44,69282510,$247.34,$255.2799,$246.2101
11/04/2024,$242.84,68802350,$244.56,$248.90,$238.88
11/01/2024,$248.98,57544760,$252.043,$254.00,$246.63
10/31/2024,$249.85,66575290,$257.99,$259.75,$249.25
10/30/2024,$257.55,53993580,$258.035,$263.35,$255.8201
10/29/2024,$259.52,80521750,$264.51,$264.98,$255.51
10/28/2024,$262.51,107653600,$270.00,$273.536,$262.24
10/25/2024,$269.19,161611900,$256.01,$269.49,$255.32
10/24/2024,$260.48,204491900,$244.68,$262.1199,$242.65
10/23/2024,$213.65,80938890,$217.125,$218.72,$212.11
10/22/2024,$217.97,43268740,$217.31,$218.22,$215.26
10/21/2024,$218.85,47328990,$218.90,$220.48,$215.726
10/18/2024,$220.70,49611870,$220.71,$222.28,$219.23
10/17/2024,$220.89,50791780,$221.59,$222.08,$217.90
10/16/2024,$221.33,49632820,$221.40,$222.8199,$218.93
10/15/2024,$219.57,62988790,$220.01,$224.26,$217.12
10/14/2024,$219.16,86291920,$220.13,$221.91,$213.74
10/11/2024,$217.80,142628900,$220.13,$223.34,$214.38
10/10/2024,$238.77,83087060,$241.81,$242.7899,$232.34
10/09/2024,$241.05,66289530,$243.82,$247.43,$239.51
10/08/2024,$244.50,56303160,$243.56,$246.21,$240.56
10/07/2024,$240.83,68113270,$249.00,$249.83,$240.70
10/04/2024,$250.08,86726290,$246.69,$250.96,$244.58
10/03/2024,$240.66,80729240,$244.48,$249.79,$237.81
10/02/2024,$249.02,93983930,$247.55,$251.1585,$241.50
10/01/2024,$258.02,87397610,$262.67,$263.98,$248.53
09/30/2024,$261.63,80873380,$259.04,$264.86,$255.77
09/27/2024,$260.46,70988070,$257.375,$260.6999,$254.12
09/26/2024,$254.22,67142190,$260.60,$261.75,$251.53
09/25/2024,$257.02,65034320,$252.54,$257.05,$252.28
09/24/2024,$254.27,88491000,$254.08,$257.19,$249.0501
09/23/2024,$250.00,86927190,$242.61,$250.00,$241.92
09/20/2024,$238.25,99879070,$241.52,$243.99,$235.92
09/19/2024,$243.92,102694600,$234.00,$244.24,$232.13
09/18/2024,$227.20,78010200,$230.09,$235.68,$226.88
09/17/2024,$227.87,66761640,$229.45,$234.57,$226.5533
09/16/2024,$226.78,54323000,$229.30,$229.96,$223.53
09/13/2024,$230.29,59515110,$228.00,$232.67,$226.32
09/12/2024,$229.81,72020040,$224.66,$231.45,$223.83
09/11/2024,$228.13,83548630,$224.55,$228.47,$216.8003
